PictureName,DateTime,Irradiance,IrradianceNotCompensated,BodyTemperature,RelativeHumidity,HumidityTemp,Pressure,PressureAvg,PressureTemp,PressureTempAvg,TiltAngle,TiltAngleAvg,FanSpeed,HeaterCurrent,FanCurrent,SunLatitude,SunLongitude,SunAzimuth,SunZenith
Alpnach_20180804_18-52-40_ExposureStack_Image_10_image.png,08/04/2018 20:52:43.705#7549,5.59,5.57,33.21,5.77,34.68,1067.875,1067.96875,34.26171875,34.25,0.11,0.12,8912,0.33,0.066,46.935881,8.27584,296.01882559369,0.114343008859988
Alpnach_20180804_18-04-50_ExposureStack_Image_10_image.png,08/04/2018 20:04:53.810#4776,28.37,28.25,35.53,6.14,37.01,1077.34375,1077.28125,36.63671875,36.671875,0.14,0.12,8879,0.332,0.065,46.935881,8.27584,287.450187439206,7.2709909138839
Alpnach_20180805_18-18-50_ExposureStack_Image_10_image.png,08/05/2018 20:18:53.658#7884,32.61,32.48,34.81,6.06,36.27,1073.90625,1074.03125,35.85546875,35.84765625,0.09,0.13,8888,0.333,0.066,46.935881,8.27584,289.760959553077,4.83706561116246
Alpnach_20180805_18-39-50_ExposureStack_Image_10_image.png,08/05/2018 20:39:53.579#502,16.87,16.81,34.41,5.99,35.88,1072.5,1072.46875,35.4765625,35.4609375,0.13,0.13,8895,0.331,0.066,46.935881,8.27584,293.526165396698,1.66455013742312
Alpnach_20180805_18-07-40_ExposureStack_Image_10_image.png,08/05/2018 20:07:43.622#5844,44.61,44.44,34.75,6.04,36.23,1073.75,1073.8125,35.765625,35.8203125,0.08,0.13,8889,0.331,0.065,46.935881,8.27584,287.782306171657,6.60536716773665
Alpnach_20180805_18-24-00_ExposureStack_Image_10_image.png,08/05/2018 20:24:03.849#7585,29.39,29.28,34.92,6.08,36.41,1074.46875,1074.59375,35.9921875,36.0078125,0.12,0.13,8887,0.332,0.066,46.935881,8.27584,290.681348956916,4.0337248755268
Alpnach_20180805_18-19-20_ExposureStack_Image_10_image.png,08/05/2018 20:19:23.796#5849,32.16,32.03,34.78,6.06,36.28,1074.21875,1074.0625,35.85546875,35.8515625,0.16,0.13,8890,0.33,0.066,46.935881,8.27584,289.849872773249,4.7588637347199
Alpnach_20180805_18-04-10_ExposureStack_Image_10_image.png,08/05/2018 20:04:13.800#2983,48.6,48.41,34.86,6.07,36.36,1074.21875,1074.375,36.01171875,35.96484375,0.07,0.13,8886,0.332,0.065,46.935881,8.27584,287.164674517974,7.16690015563767
Alpnach_20180805_17-37-40_ExposureStack_Image_10_image.png,08/05/2018 19:37:43.725#4435,75.71,75.41,35.16,6.13,36.65,1075.8125,1075.625,36.3203125,36.2421875,0.16,0.13,8883,0.331,0.066,46.935881,8.27584,282.513537437986,11.4995217623834
Alpnach_20180805_17-50-50_ExposureStack_Image_10_image.png,08/05/2018 19:50:53.985#1067,62.38,62.13,35.06,6.08,36.54,1075.0,1075.0625,36.21875,36.16015625,0.17,0.13,8882,0.332,0.066,46.935881,8.27584,284.820370683566,9.33091863450531
